Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Response To Peptide (GO:1901652)	1/38	2.628224e-02	4.866546e-02	0	0	4.147401e+01	1.509182e+02	ANXA1
GO_Biological_Process_2023	Regulation Of Receptor-Mediated Endocytosis (GO:0048259)	1/39	2.696513e-02	4.938723e-02	0	0	4.038057e+01	1.459035e+02	CCL21
GO_Biological_Process_2023	Release Of Sequestered Calcium Ion Into Cytosol (GO:0051209)	1/39	2.696513e-02	4.938723e-02	0	0	4.038057e+01	1.459035e+02	CCL21
GO_Biological_Process_2023	Negative Regulation Of Secretion By Cell (GO:1903531)	1/40	2.764759e-02	4.982480e-02	0	0	3.934320e+01	1.411719e+02	ANXA1
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808)	1/40	2.764759e-02	4.982480e-02	0	0	3.934320e+01	1.411719e+02	ANXA1
GO_Biological_Process_2023	Positive Regulation Of Wound Healing (GO:0090303)	1/40	2.764759e-02	4.982480e-02	0	0	3.934320e+01	1.411719e+02	ANXA1
GO_Biological_Process_2023	Lymphocyte Migration (GO:0072676)	1/41	2.832960e-02	5.051362e-02	0	0	3.835769e+01	1.367010e+02	CCL21
GO_Biological_Process_2023	Positive Regulation Of Actin Filament Polymerization (GO:0030838)	1/41	2.832960e-02	5.051362e-02	0	0	3.835769e+01	1.367010e+02	CCL21
GO_Biological_Process_2023	Monocyte Chemotaxis (GO:0002548)	1/42	2.901116e-02	5.118723e-02	0	0	3.742026e+01	1.324705e+02	CCL21
GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	1/42	2.901116e-02	5.118723e-02	0	0	3.742026e+01	1.324705e+02	ANXA1
GO_Biological_Process_2023	Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)	1/43	2.969228e-02	5.131435e-02	0	0	3.652747e+01	1.284623e+02	RAMP2
GO_Biological_Process_2023	Regulation Of Filopodium Assembly (GO:0051489)	1/43	2.969228e-02	5.131435e-02	0	0	3.652747e+01	1.284623e+02	CCL21
GO_Biological_Process_2023	Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260)	1/43	2.969228e-02	5.131435e-02	0	0	3.652747e+01	1.284623e+02	CCL21
GO_Biological_Process_2023	Positive Regulation Of Cell-Matrix Adhesion (GO:0001954)	1/43	2.969228e-02	5.131435e-02	0	0	3.652747e+01	1.284623e+02	CCL21
GO_Biological_Process_2023	Lymphocyte Chemotaxis (GO:0048247)	1/44	3.037296e-02	5.143561e-02	0	0	3.567621e+01	1.246599e+02	CCL21
GO_Biological_Process_2023	Positive Regulation Of Chemotaxis (GO:0050921)	1/44	3.037296e-02	5.143561e-02	0	0	3.567621e+01	1.246599e+02	CCL21
GO_Biological_Process_2023	Embryonic Organ Morphogenesis (GO:0048562)	1/44	3.037296e-02	5.143561e-02	0	0	3.567621e+01	1.246599e+02	EFEMP1
GO_Biological_Process_2023	Bone Development (GO:0060348)	1/44	3.037296e-02	5.143561e-02	0	0	3.567621e+01	1.246599e+02	TGM2
GO_Biological_Process_2023	Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)	1/45	3.105319e-02	5.232462e-02	0	0	3.486364e+01	1.210484e+02	EFEMP1
GO_Biological_Process_2023	T Cell Differentiation (GO:0030217)	1/46	3.173298e-02	5.267987e-02	0	0	3.408718e+01	1.176144e+02	ANXA1
GO_Biological_Process_2023	Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)	1/46	3.173298e-02	5.267987e-02	0	0	3.408718e+01	1.176144e+02	ANXA1
GO_Biological_Process_2023	Response To Hydrogen Peroxide (GO:0042542)	1/46	3.173298e-02	5.267987e-02	0	0	3.408718e+01	1.176144e+02	ANXA1
GO_Biological_Process_2023	Negative Regulation Of Hydrolase Activity (GO:0051346)	1/47	3.241233e-02	5.302405e-02	0	0	3.334448e+01	1.143454e+02	CST3
GO_Biological_Process_2023	Regulation Of Wound Healing (GO:0061041)	1/47	3.241233e-02	5.302405e-02	0	0	3.334448e+01	1.143454e+02	ANXA1
GO_Biological_Process_2023	Bicellular Tight Junction Assembly (GO:0070830)	1/47	3.241233e-02	5.302405e-02	0	0	3.334448e+01	1.143454e+02	RAMP2
GO_Biological_Process_2023	Positive Regulation Of Nervous System Development (GO:0051962)	1/49	3.376969e-02	5.471340e-02	0	0	3.195192e+01	1.082592e+02	TGM2
GO_Biological_Process_2023	Regulation Of Cell Communication (GO:0010646)	1/49	3.376969e-02	5.471340e-02	0	0	3.195192e+01	1.082592e+02	ANXA1
GO_Biological_Process_2023	Cell Chemotaxis (GO:0060326)	1/50	3.444771e-02	5.501839e-02	0	0	3.129827e+01	1.054224e+02	CCL21
GO_Biological_Process_2023	G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)	1/50	3.444771e-02	5.501839e-02	0	0	3.129827e+01	1.054224e+02	ANXA1
GO_Biological_Process_2023	Positive Regulation Of Transport (GO:0051050)	1/50	3.444771e-02	5.501839e-02	0	0	3.129827e+01	1.054224e+02	ANXA1
GO_Biological_Process_2023	Sprouting Angiogenesis (GO:0002040)	1/52	3.580243e-02	5.664516e-02	0	0	3.006787e+01	1.001182e+02	RAMP2
GO_Biological_Process_2023	Regulation Of Proteolysis (GO:0030162)	1/52	3.580243e-02	5.664516e-02	0	0	3.006787e+01	1.001182e+02	CST3
GO_Biological_Process_2023	Tight Junction Assembly (GO:0120192)	1/53	3.647913e-02	5.665191e-02	0	0	2.948817e+01	9.763576e+01	RAMP2
GO_Biological_Process_2023	Actin Cytoskeleton Reorganization (GO:0031532)	1/53	3.647913e-02	5.665191e-02	0	0	2.948817e+01	9.763576e+01	ANXA1
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	1/53	3.647913e-02	5.665191e-02	0	0	2.948817e+01	9.763576e+01	RAMP2
GO_Biological_Process_2023	Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117)	1/53	3.647913e-02	5.665191e-02	0	0	2.948817e+01	9.763576e+01	CST3
GO_Biological_Process_2023	Epidermal Cell Differentiation (GO:0009913)	1/54	3.715538e-02	5.665775e-02	0	0	2.893033e+01	9.525737e+01	ANXA1
GO_Biological_Process_2023	ERBB Signaling Pathway (GO:0038127)	1/54	3.715538e-02	5.665775e-02	0	0	2.893033e+01	9.525737e+01	EFEMP1
GO_Biological_Process_2023	Peptidyl-Tyrosine Modification (GO:0018212)	1/54	3.715538e-02	5.665775e-02	0	0	2.893033e+01	9.525737e+01	EFEMP1
GO_Biological_Process_2023	Apical Junction Assembly (GO:0043297)	1/54	3.715538e-02	5.665775e-02	0	0	2.893033e+01	9.525737e+01	RAMP2
GO_Biological_Process_2023	Response To Peptide Hormone (GO:0043434)	1/55	3.783119e-02	5.742843e-02	0	0	2.839316e+01	9.297685e+01	ANXA1
GO_Biological_Process_2023	Chemokine-Mediated Signaling Pathway (GO:0070098)	1/57	3.918150e-02	5.921151e-02	0	0	2.737637e+01	8.868715e+01	CCL21
GO_Biological_Process_2023	Eye Development (GO:0001654)	1/58	3.985599e-02	5.943128e-02	0	0	2.689474e+01	8.666782e+01	EFEMP1
GO_Biological_Process_2023	Response To Organic Cyclic Compound (GO:0014070)	1/58	3.985599e-02	5.943128e-02	0	0	2.689474e+01	8.666782e+01	ANXA1
GO_Biological_Process_2023	Regulation Of Phagocytosis (GO:0050764)	1/58	3.985599e-02	5.943128e-02	0	0	2.689474e+01	8.666782e+01	TGM2
GO_Biological_Process_2023	Cellular Response To Chemokine (GO:1990869)	1/59	4.053005e-02	6.017016e-02	0	0	2.642971e+01	8.472602e+01	CCL21
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	1/63	4.322187e-02	6.388496e-02	0	0	2.471960e+01	7.765437e+01	ANXA1
GO_Biological_Process_2023	Positive Regulation Of T Cell Proliferation (GO:0042102)	1/65	4.456515e-02	6.529764e-02	0	0	2.394471e+01	7.448728e+01	ANXA1
GO_Biological_Process_2023	Regulation Of Cell-Matrix Adhesion (GO:0001952)	1/65	4.456515e-02	6.529764e-02	0	0	2.394471e+01	7.448728e+01	CCL21
GO_Biological_Process_2023	Cellular Response To Type II Interferon (GO:0071346)	1/66	4.523614e-02	6.583213e-02	0	0	2.357515e+01	7.298534e+01	CCL21
GO_Biological_Process_2023	Peptidyl-Tyrosine Phosphorylation (GO:0018108)	1/67	4.590668e-02	6.583213e-02	0	0	2.321678e+01	7.153427e+01	EFEMP1
GO_Biological_Process_2023	Protein Secretion (GO:0009306)	1/67	4.590668e-02	6.583213e-02	0	0	2.321678e+01	7.153427e+01	ANXA1
GO_Biological_Process_2023	Regulation Of Neurogenesis (GO:0050767)	1/67	4.590668e-02	6.583213e-02	0	0	2.321678e+01	7.153427e+01	TGM2
GO_Biological_Process_2023	Negative Regulation Of Cellular Catabolic Process (GO:0031330)	1/67	4.590668e-02	6.583213e-02	0	0	2.321678e+01	7.153427e+01	TIMP1
GO_Biological_Process_2023	Skin Development (GO:0043588)	1/68	4.657679e-02	6.651008e-02	0	0	2.286912e+01	7.013164e+01	ANXA1
GO_Biological_Process_2023	Regulation Of Endopeptidase Activity (GO:0052548)	1/69	4.724646e-02	6.718168e-02	0	0	2.253167e+01	6.877518e+01	TIMP1
