names,scores,logfoldchanges,pvals,pvals_adj
NUTM2B-AS1,2.1597211,,0.030794260408211635,1.0
PET100,2.156123,,0.03107407400806928,1.0
PDLIM7,2.1482065,,0.031697354003800755,1.0
KCTD12,2.1402903,,0.032331324039537195,1.0
EIF1AY,2.1381311,,0.032506099022329905,1.0
RDX,2.1381311,,0.032506099022329905,1.0
CTD-3179P9.1,2.1359723,,0.032681682671110025,1.0
BMPR2,2.1330936,,0.03291705717438719,1.0
SPARCL1,2.1273363,,0.033392162402367025,1.0
NHSL2,2.1266165,,0.03345196107248794,1.0
CTSL,2.1237378,,0.03369207273850933,1.0
F8,2.1222985,,0.03381268029361675,1.0
GSTM3,2.1194198,,0.034055003229584845,1.0
C14orf2,2.1136625,,0.034544105013607065,1.0
BAIAP2,2.1021478,,0.03554033006142513,1.0
C19orf53,2.0999887,,0.03572982577911336,1.0
AFF4,2.0992692,,0.035793182224999866,1.0
PSMA1,2.0985494,,0.03585663446056219,1.0
C1R,2.0920725,,0.0364320336046784,1.0
NUTM2A-AS1,2.0920725,,0.0364320336046784,1.0
ESD,2.0891938,,0.036690281398814174,1.0
SPOCK2,2.0776792,,0.037738923032519606,1.0
HSP90B1,2.0776792,,0.037738923032519606,1.0
GALNT1,2.0733612,,0.03813868434074398,1.0
FMOD,2.0704825,,0.03840718759744803,1.0
GTF2H5,2.0697627,,0.03847456392498075,1.0
DSP,2.0661645,,0.03881295437592857,1.0
AK4,2.0647252,,0.03894901681328209,1.0
CARD16,2.062566,,0.039153870049356006,1.0
TMSB10,2.0618465,,0.039222357476970546,1.0
TXNRD2,2.0611267,,0.03929094660461932,1.0
ERGIC3,2.0575285,,0.03963542178616321,1.0
EFEMP2,2.0553694,,0.03984333469393452,1.0
PTPRN2,2.0546498,,0.039912844324682076,1.0
GIMAP7,2.0517712,,0.04019191258307336,1.0
SEMA6A,2.0488925,,0.04047263399776881,1.0
VMP1,2.0431352,,0.0410390661245743,1.0
ST6GAL1,2.0395367,,0.041396485894718206,1.0
HEBP1,2.036658,,0.04168431656991649,1.0
GATA2-AS1,2.0352187,,0.04182886611201028,1.0
ARPC1B,2.0337794,,0.04197383971252162,1.0
STOM,2.0337794,,0.04197383971252162,1.0
MATN2,2.03234,,0.04211923831427128,1.0
GTF2A2,2.0316205,,0.042192097285515644,1.0
S100A11,2.0258632,,0.04277881674204254,1.0
PTOV1,2.0172272,,0.04367182110536516,1.0
EBPL,2.0172272,,0.04367182110536516,1.0
RPS20,2.0136287,,0.044048526040960385,1.0
LSM14A,2.006432,,0.04481016910001025,1.0
KCTD17,2.0035534,,0.04511792131143646,1.0
SRP19,1.997796,,0.04573877377684476,1.0
CTDNEP1,1.997796,,0.04573877377684476,1.0
UBB,1.9934781,,0.04620912308423794,1.0
PLIN5,1.9934781,,0.04620912308423794,1.0
NUCKS1,1.9884404,,0.04676300496133799,1.0
XBP1,1.9805241,,0.04764467297523278,1.0
MSRB2,1.9769257,,0.048050027025858665,1.0
UBA52,1.9769257,,0.048050027025858665,1.0
TMEM59,1.9682897,,0.04903471274333583,1.0
OXA1L,1.9682897,,0.04903471274333583,1.0
PDLIM2,1.9675701,,0.049117528930967595,1.0
TMEM70,1.9654111,,0.04936668208948575,1.0
PDE4B,1.9625324,,0.04970053496287898,1.0
RPS11,1.9625324,,0.04970053496287898,1.0
MLXIP,1.9589341,,0.050120511808122985,1.0
ENO1,1.9589341,,0.050120511808122985,1.0
PSMA7,1.9567751,,0.05037392292282686,1.0
HNRNPH1,1.9531767,,0.05079866053550812,1.0
LRRC32,1.9488587,,0.051312301291707,1.0
PSMB4,1.9359047,,0.052879375047278264,1.0
RHOJ,1.9294277,,0.05367778927852679,1.0
NDRG4,1.9207916,,0.054757975682951626,1.0
CHRDL2,1.9150343,,0.055488123914389814,1.0
ARF3,1.9121556,,0.05585622950987627,1.0
C1orf56,1.9078376,,0.05641220008536396,1.0
RP11-182L21.6,1.907118,,0.0565053082330545,1.0
CCL14,1.9063983,,0.05659854425849714,1.0
CHURC1,1.9020803,,0.05716065297435247,1.0
ATP5G2,1.8956033,,0.05801251661746279,1.0
MGST2,1.894164,,0.05820324547915432,1.0
LXN,1.8912853,,0.058586266327435264,1.0
FAM171B,1.8905656,,0.05868234793754731,1.0
GNG5,1.8862476,,0.05926158921224117,1.0
SREK1IP1,1.8826493,,0.059747907696210335,1.0
ZFR,1.8804903,,0.0600412844930408,1.0
EMP1,1.8804903,,0.0600412844930408,1.0
CEBPG,1.8761723,,0.06063162213886307,1.0
PIGX,1.870415,,0.061426213485297324,1.0
TUFM,1.870415,,0.061426213485297324,1.0
CTSC,1.857461,,0.06324559912431285,1.0
PSMB1,1.8517036,,0.06406839212063525,1.0
RAB1B,1.848825,,0.06448309143012713,1.0
PHB2,1.8473856,,0.06469127043003908,1.0
HSPG2,1.846666,,0.06479556772197606,1.0
SSBP4,1.8459463,,0.06490000371557583,1.0
SNHG9,1.8452266,,0.06500457854113176,1.0
CPNE3,1.8430676,,0.06531913731291003,1.0
GPSM3,1.8416283,,0.06552953971056764,1.0
NELFE,1.840189,,0.06574050056555979,1.0
MT-ND3,1.8373103,,0.0661641018242881,1.0
FKBP8,1.833712,,0.06669676332719418,1.0
ST6GALNAC3,1.8322726,,0.06691081437221541,1.0
ATP5D,1.8214777,,0.06853428694635526,1.0
MT1X,1.820758,,0.06864365978249745,1.0
MRPS18C,1.8200383,,0.06875317602814196,1.0
DNAJB1,1.8150007,,0.06952381624105611,1.0
DYNLT1,1.809963,,0.07030153500264612,1.0
SMIM4,1.8042057,,0.07119908191218559,1.0
DCTN2,1.8042057,,0.07119908191218559,1.0
EIF3I,1.8020467,,0.07153807453763349,1.0
CFL1,1.7984482,,0.07210600058279268,1.0
PPIA,1.7977285,,0.07222002772859706,1.0
LSM6,1.7970089,,0.07233420249434049,1.0
MAOA,1.7970089,,0.07233420249434049,1.0
PEBP1,1.7962892,,0.0724485250119222,1.0
ROBO4,1.7941302,,0.07279238039495192,1.0
